center_x,center_y,radius,diameter,circumference,area,points,num_points,edge_lengths,perimeter,aspect_ratio,vertex_angles,is_convex,compactness,bounding_box_area,centroid_x,centroid_y,acute_angle_count,obtuse_angle_count
0.1702514466184588,0.07996377881761496,0.13414381011497345,0.13414381011497345,0.1341438101149735,0.060756764017829146,,,,,,,,,,,,,
0.12295937664380996,0.0,0.1724829298237608,0.1724829298237608,0.17248292982376084,0.0694374907679497,,,,,,,,,,,,,
0.0,0.06151059825700034,0.0,0.0,0.0,0.03479320259706061,,,,,,,,,,,,,
0.3499613032641389,0.08611483900448702,0.07665360577998481,0.07665360577998481,0.07665360577998487,0.048789731664860364,,,,,,,,,,,,,
0.9999999999999999,1.0,1.0,1.0,1.0,0.39334605615196444,,,,,,,,,,,,,
,,,,,0.09423101959634334,"[(45.5022302421869, 61.38428548883791), (145.5022302421869, 61.38428548883791), (95.50223024218693, 147.9868258672818)]",0.0,"[100.0, 100.0, 100.00000000000001]",0.26530447786627087,0.10993069930021522,"[59.999999999999986, 60.00000000000002, 59.99999999999999]",True,0.6194658994383594,0.08107885739772133,0.26745959948828657,0.2375807485375948,1.0,0.0
,,,,,0.022238647533707107,"[(38.86605430672444, 73.9826953043796), (88.84936886749425, 75.27430883757597), (63.84936886749426, 118.5755790267979)]",0.0,"[49.99999999999999, 49.999999999999986, 51.114491928644775]",0.11338143178655793,0.10553326369345666,"[59.25987762758116, 61.48024474483769, 59.25987762758116]",True,0.6190464483816934,0.020163979904957295,0.17124197928999407,0.2346996121504628,1.0,0.0
,,,,,1.0,"[(115.2714807995026, 268.2654368785168), (372.0315348893033, 113.1065678964228), (522.0315348893032, 372.9141890317544)]",0.0,"[300.0, 299.99999999999994, 420.00607487317046]",0.9999999999999999,0.16336108002731892,"[45.57218368035228, 88.85563263929541, 45.57218368035231]",True,0.4906839863134943,0.9999999999999999,0.9999999999999999,0.7142167328178571,1.0,0.0
,,,,,0.38648327258895254,"[(129.0368999785651, 411.5736397577911), (219.3658111946915, 227.5473161013394), (321.8658111946916, 405.0825238771492)]",0.0,"[204.99999999999994, 204.99999999999994, 192.9381340901086]",0.5744231066761115,0.09603514326184344,"[61.92799491095907, 56.14401017808188, 61.927994910959065]",True,0.616488283189255,0.3351563690741266,0.6563779872070807,0.9999999999999999,1.0,0.0
,,,,,0.8074245841293151,"[(83.93291066738448, 414.1736618333757), (256.3257835432673, 193.5366355173022), (396.3257835432673, 436.0237485769451)]",0.0,"[280.0, 280.00000000000006, 313.15608458778024]",0.8501540000102601,0.1273003935447959,"[55.99900545391128, 68.00198909217745, 55.99900545391127]",True,0.6078461094371949,0.716534410062895,0.7235850211594425,0.9995372599907814,1.0,0.0
,,,,,0.0011138083936348647,"[(2.531086825922805, 17.41263553928811), (12.5310868259228, 17.41263553928811), (12.5310868259228, 2.412635539288114), (2.531086825922805, 2.412635539288114)]",1.0,"[9.999999999999996, 14.999999999999996, 9.999999999999996, 14.999999999999996]",0.010204018379471949,0.04647343649550209,"[90.0, 90.0, 90.0, 90.0]",True,0.9338775510204081,0.00047357740225509803,0.0,0.0,0.0,0.0
,,,,,0.0155933175108881,"[(6.619977088719451, 42.48321526103706), (46.61997708871945, 42.48321526103706), (46.61997708871945, 22.48321526103706), (6.619977088719451, 22.48321526103706)]",1.0,"[40.0, 20.0, 40.0, 20.0]",0.08163214703577565,0.21984190258722897,"[90.0, 90.0, 90.0, 90.0]",True,0.816326530612245,0.006630083631571386,0.05803615533567724,0.06674621688452612,0.0,0.0
,,,,,0.013811224081072318,"[(4.71994588562984, 30.86795892578084), (64.71994588562984, 30.86795892578084), (64.71994588562984, 18.86795892578084), (4.71994588562984, 18.86795892578084)]",1.0,"[60.0, 12.0, 60.0, 12.0]",0.10612179114650833,0.6099209512936146,"[90.0, 90.0, 90.0, 90.0]",True,0.26530612244897966,0.005872359787963227,0.08266257629781226,0.04422621264668695,0.0,0.0
,,,,,0.0155933175108881,"[(7.315607239818803, 31.60224925884651), (87.3156072398188, 31.60224925884651), (87.3156072398188, 21.60224925884651), (7.315607239818803, 21.60224925884651)]",1.0,"[80.0, 10.0, 80.0, 10.0]",0.14285625731260737,1.0,"[90.0, 90.0, 90.0, 90.0]",True,0.0,0.006630083631571386,0.12095729897909822,0.04935489432605005,0.0,0.0
,,,,,0.21714981149706766,"[(71.78979601238689, 73.44735260079801), (171.7897960123869, 73.44735260079801), (189.1546137790799, 171.9281279020188), (89.15461377907992, 171.9281279020188)]",1.0,"[100.0, 99.99999999999997, 99.99999999999999, 99.99999999999997]",0.36734466166099033,0.11474857268016093,"[80.0, 100.0, 80.00000000000001, 100.0]",True,0.9748862855916097,0.10852668577343896,0.373779183976305,0.33350103059324737,0.6666666666666666,1.0
,,,,,0.3466712951255314,"[(48.42839250877614, 49.62021326229251), (178.4283925087761, 49.62021326229251), (227.2598850578994, 170.100441247738), (97.2598850578994, 170.100441247738)]",1.0,"[129.99999999999997, 130.0, 130.0, 130.0]",0.4897928822146539,0.15279021741610233,"[67.93693773733928, 112.06306226266074, 67.93693773733926, 112.06306226266072]",True,0.8789479539750525,0.20312358951387513,0.3961921526892735,0.2955675215527315,0.6666666666666666,1.0
,,,,,0.35544707193288383,"[(55.7002264501316, 62.75403784440834), (185.7002264501316, 62.75403784440834), (145.1401264684903, 186.2646782341305), (15.14012646849036, 186.2646782341305)]",1.0,"[130.0, 130.00000000000003, 129.99999999999994, 130.0]",0.4897928822146539,0.13934707079389214,"[108.17984757017435, 71.82015242982565, 108.17984757017436, 71.82015242982567]",True,0.9174822404344579,0.19858035482838404,0.28241168348374995,0.33888795895079066,0.6666666666666666,1.0
,,,,,0.4529944717639577,"[(40.53286266827536, 161.2415583646772), (198.7062024077297, 98.94232405423688), (354.6038545840635, 166.7355541432867), (196.4305148446091, 229.0347884537271)]",1.0,"[169.99999999999997, 170.00000000000003, 170.00000000000009, 170.0]",0.6530571762862053,0.27370058004448883,"[45.00000000000004, 135.0, 45.0, 134.99999999999994]",True,0.5158295770634765,0.38604390623898116,0.5777723311272053,0.45563671591458443,0.6666666666666666,1.0
,,,,,0.20579307825635879,"[(46.26436262084107, 137.6179846925022), (136.5739924164482, 102.2178326281341), (160.6548671929509, 196.1811843669817), (70.3452373973438, 231.5813364313498)]",1.0,"[96.99999999999997, 97.0, 96.99999999999994, 96.99999999999999]",0.35509983960562397,0.07476583362401619,"[97.03014565852801, 82.96985434147197, 97.03014565852803, 82.969854341472]",True,0.9875721101691538,0.13921240090135553,0.29165252040243994,0.46424527302947494,0.6666666666666666,1.0
